username, created_at, lng, lat, text,,,,
VirallyAds, Thu Apr 23 21:17:34 +0000 2020,-73.977182,40.780751, I challenge you to ?#SaveTheWorld from #Coronavirus! Recycle empty soda bottles into face shields and become a hero… https://t.co/EpXzWfEYvY ,,,,
GutyC21, Thu Apr 23 21:17:34 +0000 2020,-100.293591,25.641718, @FirmatoC @fluffyguy https://t.co/NsbMzKHbLJ ,,,,
LaihrLogic, Thu Apr 23 21:17:34 +0000 2020,-82.985772,39.994684, You ever get so bored you start forgetting devices from your Bluetooth settings list? ,,,,
wristmotion, Thu Apr 23 21:17:34 +0000 2020,-75.117998,40.004866, @BWatchtower She got me blocked what that hoe say ,,,,
frederic_aj, Thu Apr 23 21:17:34 +0000 2020,-73.972216,40.772743, Bethesda Terrace and Fountain is one of the most famous features of Central Park. At the top of the fountain is a… https://t.co/8ff1p9kW28 ,,,,
MsWednesday_, Thu Apr 23 21:17:35 +0000 2020,-77.604684,41.117936, Those not my friends. Them is family. Thats my brother and my sister ! Period ,,,,
andreafarley, Thu Apr 23 21:17:35 +0000 2020,-116.90301,33.925159, @parscale @JoeBiden @realDonaldTrump Ah! @parscale  I notice you have moved from RealWorld to #TrumpWorld Trump ne… https://t.co/ysS49U9HkH ,,,,
AngelGail_4, Thu Apr 23 21:17:35 +0000 2020,-73.708745,40.703539, @louu72846106 Moi aussi 🥺🥺 ,,,,
StoicStolas, Thu Apr 23 21:17:35 +0000 2020,-85.170051,41.086917, With all this social distancing, some of y’all couldn’t stay in line in school and it shows ,,,
callallangels12, Thu Apr 23 21:17:35 +0000 2020,-120.470339,34.654425, @AlinejadMasih how can I be of help AlinejadMasih? ,,,,
MannyE46, Thu Apr 23 21:17:35 +0000 2020,-118.163276,34.685827, I live by Eddie Guerrero motto 🙏🏼 ,,,,
Nailsbytee_954, Thu Apr 23 21:17:35 +0000 2020,-80.156826,26.179921, Lets Go‼️🏈🙌🏽 ,,,,
ChrisTHEBLUEONE, Thu Apr 23 21:17:35 +0000 2020,-84.656447,38.989258, ✈ 🔬🧪☣😷https://t.co/EinHoVTxNz ,,,,
drantbradley, Thu Apr 23 21:17:35 +0000 2020,-73.968542,40.780709, @allenhah That’s the fallacy in your thinking. Schools providing food programs is contrary to hundreds of years of… https://t.co/dbu47cr2OM ,,,,
half_ah_virgin, Thu Apr 23 21:17:35 +0000 2020,-75.117998,40.004866, Bitch 😳😳😳 ,,,,
ScottJenningsKY, Thu Apr 23 21:17:35 +0000 2020,-85.768241,37.822244, Here’s some news - hospital says there was no coronavirus surge ,,,,
OCobbs, Thu Apr 23 21:17:35 +0000 2020,-86.50394,30.49537, @KarenKeyLargo Nope not yet lol ,,,,
420kamm, Thu Apr 23 21:17:35 +0000 2020,-79.980689,40.431389, I was a host at a restaurant for 2+ years and if u don’t just SIT WHEREVER TF THEY PUT U!!!!! ur getting the same m… https://t.co/ZdXcLKq79Z ,,,,
tmj_maw_labor, Thu Apr 23 21:17:35 +0000 2020,-72.62745,42.20033, If you're looking for work in #Holyoke, MA, check out this #Labor job via the link in our bio: Security Officer - 4… https://t.co/ZTFe616ooA ,,
yagermyster7, Thu Apr 23 21:17:35 +0000 2020,-86.142922,39.779562, @MuscuttRachel @MikeMuscutt Adorable! Right now we need more of this. I'd much rather watch this than all the other… https://t.co/SXOfrTbxSK ,,,,
Ciara_Jackson1, Thu Apr 23 21:17:35 +0000 2020,-84.361532,39.506104, Highlight of my day: the Jonas Brothers have another documentary coming out at midnight tonight. 😍 ,,,,
BossierS, Thu Apr 23 21:17:35 +0000 2020,-118.411907,34.020789, @_cor1nne I haven’t worn deodorant since we’ve been on quarantine. I’ve run 130 miles since we’ve been on lockdown. https://t.co/S4PVwucaZU ,,,,
tbvrzy, Thu Apr 23 21:17:36 +0000 2020,-97.75384,31.079307, I love that a lot of young ladies have been messaging about business tips and advice fr, I’m still learning myself… https://t.co/VgGjCPx8NJ ,,,
DamienNova1, Thu Apr 23 21:17:35 +0000 2020,-81.705467,41.49594, #BlackGirlPop #ChromeHoof https://t.co/4cVsyvMonb ,,,,
tmj_DTW_secure, Thu Apr 23 21:17:36 +0000 2020,-83.014653,42.514457," If jobs with titles like ""EMT - Automotive"" sound appealing to you", follow us to hear about these types of opportun… https://t.co/AqGrXpYHYO ,,,
tellesmith, Thu Apr 23 21:17:36 +0000 2020,-118.411907,34.020789, @cayleighh6661 @piinksparkles Fair lol ,,,,
fmg223, Thu Apr 23 21:17:36 +0000 2020,-111.737566,33.405755, @jsolomonReports There's a lot of that going on! ,,,,
tmj_hsv_nursing, Thu Apr 23 21:17:36 +0000 2020,-86.663893,34.753382, This job is now open at American Health Partners in Huntsville, AL. Follow us and turn on mobile alerts to hear abo… https://t.co/vkDRZ7EUkN ,,,
estawey_, Thu Apr 23 21:17:36 +0000 2020,-80.233328,25.782353, @fabalyssa_ Damn. This is her looking for you now 😂 Oh well. https://t.co/robFkUnCPt ,,,,
ApexCrazy, Thu Apr 23 21:17:36 +0000 2020,-78.855078,35.7232, @dankanenando Two people who are working really hard to save lives. Thank you. ,,,,
jaedubbbb, Thu Apr 23 21:17:36 +0000 2020,-115.223125,36.232915, Maaannn !!! ,,,,
